id,Personality,loan_status
18524,Extrovert,Extrovert
18525,Extrovert,Introvert
18526,Extrovert,Extrovert
18527,Extrovert,Extrovert
18528,Extrovert,Introvert
18529,Extrovert,Extrovert
18530,Extrovert,Extrovert
18531,Extrovert,Introvert
18532,Extrovert,Extrovert
18533,Extrovert,Introvert
18534,Extrovert,Extrovert
18535,Extrovert,Extrovert
18536,Extrovert,Introvert
18537,Extrovert,Extrovert
18538,Extrovert,Introvert
18539,Extrovert,Extrovert
18540,Extrovert,Extrovert
18541,Extrovert,Extrovert
18542,Extrovert,Introvert
18543,Extrovert,Extrovert
18544,Extrovert,Introvert
18545,Extrovert,Introvert
18546,Extrovert,Extrovert
18547,Extrovert,Introvert
18548,Extrovert,Extrovert
18549,Extrovert,Extrovert
18550,Extrovert,Extrovert
18551,Extrovert,Extrovert
18552,Extrovert,Introvert
18553,Extrovert,Introvert
18554,Extrovert,Extrovert
18555,Extrovert,Extrovert
18556,Extrovert,Introvert
18557,Extrovert,Extrovert
18558,Extrovert,Extrovert
18559,Extrovert,Extrovert
18560,Extrovert,Extrovert
18561,Extrovert,Extrovert
18562,Extrovert,Extrovert
18563,Extrovert,Extrovert
18564,Extrovert,Introvert
18565,Extrovert,Introvert
18566,Extrovert,Introvert
18567,Extrovert,Introvert
18568,Extrovert,Extrovert
18569,Extrovert,Introvert
18570,Extrovert,Extrovert
18571,Extrovert,Introvert
18572,Extrovert,Extrovert
18573,Extrovert,Extrovert
18574,Extrovert,Introvert
18575,Extrovert,Extrovert
18576,Extrovert,Extrovert
18577,Extrovert,Extrovert
18578,Extrovert,Extrovert
18579,Extrovert,Extrovert
18580,Extrovert,Extrovert
18581,Extrovert,Extrovert
18582,Extrovert,Introvert
18583,Extrovert,Extrovert
18584,Extrovert,Extrovert
18585,Extrovert,Extrovert
18586,Extrovert,Extrovert
18587,Extrovert,Extrovert
18588,Extrovert,Extrovert
18589,Extrovert,Extrovert
18590,Extrovert,Extrovert
18591,Extrovert,Introvert
18592,Extrovert,Extrovert
18593,Extrovert,Extrovert
18594,Extrovert,Introvert
18595,Extrovert,Introvert
18596,Extrovert,Extrovert
18597,Extrovert,Extrovert
18598,Extrovert,Extrovert
18599,Extrovert,Extrovert
18600,Extrovert,Extrovert
18601,Extrovert,Extrovert
18602,Extrovert,Extrovert
18603,Extrovert,Extrovert
18604,Extrovert,Extrovert
18605,Extrovert,Extrovert
18606,Extrovert,Extrovert
18607,Extrovert,Extrovert
18608,Extrovert,Extrovert
18609,Extrovert,Extrovert
18610,Extrovert,Extrovert
18611,Extrovert,Introvert
18612,Extrovert,Extrovert
18613,Extrovert,Introvert
18614,Extrovert,Extrovert
18615,Extrovert,Introvert
18616,Extrovert,Extrovert
18617,Extrovert,Extrovert
18618,Extrovert,Extrovert
18619,Extrovert,Extrovert
18620,Extrovert,Extrovert
18621,Extrovert,Extrovert
18622,Extrovert,Extrovert
18623,Extrovert,Introvert
18624,Extrovert,Introvert
18625,Extrovert,Extrovert
18626,Extrovert,Extrovert
18627,Extrovert,Extrovert
18628,Extrovert,Introvert
18629,Extrovert,Extrovert
18630,Extrovert,Extrovert
18631,Extrovert,Extrovert
18632,Extrovert,Extrovert
18633,Extrovert,Introvert
18634,Extrovert,Extrovert
18635,Extrovert,Extrovert
18636,Extrovert,Introvert
18637,Extrovert,Introvert
18638,Extrovert,Extrovert
18639,Extrovert,Extrovert
18640,Extrovert,Extrovert
18641,Extrovert,Extrovert
18642,Extrovert,Extrovert
18643,Extrovert,Introvert
18644,Extrovert,Extrovert
18645,Extrovert,Introvert
18646,Extrovert,Extrovert
18647,Extrovert,Extrovert
18648,Extrovert,Extrovert
18649,Extrovert,Introvert
18650,Extrovert,Extrovert
18651,Extrovert,Extrovert
18652,Extrovert,Extrovert
18653,Extrovert,Extrovert
18654,Extrovert,Introvert
18655,Extrovert,Extrovert
18656,Extrovert,Extrovert
18657,Extrovert,Extrovert
18658,Extrovert,Extrovert
18659,Extrovert,Extrovert
18660,Extrovert,Introvert
18661,Extrovert,Introvert
18662,Extrovert,Extrovert
18663,Extrovert,Introvert
18664,Extrovert,Extrovert
18665,Extrovert,Extrovert
18666,Extrovert,Extrovert
18667,Extrovert,Extrovert
18668,Extrovert,Extrovert
18669,Extrovert,Extrovert
18670,Extrovert,Introvert
18671,Extrovert,Extrovert
18672,Extrovert,Introvert
18673,Extrovert,Introvert
18674,Extrovert,Extrovert
18675,Extrovert,Extrovert
18676,Extrovert,Extrovert
18677,Extrovert,Extrovert
18678,Extrovert,Extrovert
18679,Extrovert,Extrovert
18680,Extrovert,Extrovert
18681,Extrovert,Introvert
18682,Extrovert,Extrovert
18683,Extrovert,Extrovert
18684,Extrovert,Extrovert
18685,Extrovert,Introvert
18686,Extrovert,Extrovert
18687,Extrovert,Extrovert
18688,Extrovert,Introvert
18689,Extrovert,Extrovert
18690,Extrovert,Extrovert
18691,Extrovert,Extrovert
18692,Extrovert,Extrovert
18693,Extrovert,Introvert
18694,Extrovert,Extrovert
18695,Extrovert,Extrovert
18696,Extrovert,Introvert
18697,Extrovert,Introvert
18698,Extrovert,Introvert
18699,Extrovert,Introvert
18700,Extrovert,Extrovert
18701,Extrovert,Introvert
18702,Extrovert,Extrovert
18703,Extrovert,Extrovert
18704,Extrovert,Extrovert
18705,Extrovert,Introvert
18706,Extrovert,Extrovert
18707,Extrovert,Introvert
18708,Extrovert,Extrovert
18709,Extrovert,Extrovert
18710,Extrovert,Extrovert
18711,Extrovert,Introvert
18712,Extrovert,Extrovert
18713,Extrovert,Extrovert
18714,Extrovert,Extrovert
18715,Extrovert,Extrovert
18716,Extrovert,Extrovert
18717,Extrovert,Extrovert
18718,Extrovert,Introvert
18719,Extrovert,Introvert
18720,Extrovert,Introvert
18721,Extrovert,Extrovert
18722,Extrovert,Extrovert
18723,Extrovert,Extrovert
18724,Extrovert,Introvert
18725,Extrovert,Introvert
18726,Extrovert,Extrovert
18727,Extrovert,Extrovert
18728,Extrovert,Introvert
18729,Extrovert,Introvert
18730,Extrovert,Extrovert
18731,Extrovert,Extrovert
18732,Extrovert,Extrovert
18733,Extrovert,Extrovert
18734,Extrovert,Introvert
18735,Extrovert,Extrovert
18736,Extrovert,Extrovert
18737,Extrovert,Extrovert
18738,Extrovert,Introvert
18739,Extrovert,Extrovert
18740,Extrovert,Extrovert
18741,Extrovert,Extrovert
18742,Extrovert,Extrovert
18743,Extrovert,Extrovert
18744,Extrovert,Extrovert
18745,Extrovert,Introvert
18746,Extrovert,Introvert
18747,Extrovert,Introvert
18748,Extrovert,Extrovert
18749,Extrovert,Extrovert
18750,Extrovert,Extrovert
18751,Extrovert,Extrovert
18752,Extrovert,Extrovert
18753,Extrovert,Extrovert
18754,Extrovert,Extrovert
18755,Extrovert,Introvert
18756,Extrovert,Extrovert
18757,Extrovert,Extrovert
18758,Extrovert,Introvert
18759,Extrovert,Extrovert
18760,Extrovert,Extrovert
18761,Extrovert,Extrovert
18762,Extrovert,Extrovert
18763,Extrovert,Extrovert
18764,Extrovert,Extrovert
18765,Extrovert,Introvert
18766,Extrovert,Introvert
18767,Extrovert,Extrovert
18768,Extrovert,Extrovert
18769,Extrovert,Introvert
18770,Extrovert,Extrovert
18771,Extrovert,Extrovert
18772,Extrovert,Extrovert
18773,Extrovert,Extrovert
18774,Extrovert,Extrovert
18775,Extrovert,Extrovert
18776,Extrovert,Extrovert
18777,Extrovert,Introvert
18778,Extrovert,Extrovert
18779,Extrovert,Extrovert
18780,Extrovert,Extrovert
18781,Extrovert,Extrovert
18782,Extrovert,Extrovert
18783,Extrovert,Extrovert
18784,Extrovert,Extrovert
18785,Extrovert,Extrovert
18786,Extrovert,Extrovert
18787,Extrovert,Introvert
18788,Extrovert,Introvert
18789,Extrovert,Extrovert
18790,Extrovert,Introvert
18791,Extrovert,Extrovert
18792,Extrovert,Extrovert
18793,Extrovert,Extrovert
18794,Extrovert,Extrovert
18795,Extrovert,Extrovert
18796,Extrovert,Extrovert
18797,Extrovert,Extrovert
18798,Extrovert,Extrovert
18799,Extrovert,Introvert
18800,Extrovert,Extrovert
18801,Extrovert,Introvert
18802,Extrovert,Extrovert
18803,Extrovert,Extrovert
18804,Extrovert,Introvert
18805,Extrovert,Introvert
18806,Extrovert,Extrovert
18807,Extrovert,Extrovert
18808,Extrovert,Extrovert
18809,Extrovert,Extrovert
18810,Extrovert,Extrovert
18811,Extrovert,Extrovert
18812,Extrovert,Extrovert
18813,Extrovert,Extrovert
18814,Extrovert,Extrovert
18815,Extrovert,Extrovert
18816,Extrovert,Introvert
18817,Extrovert,Extrovert
18818,Extrovert,Extrovert
18819,Extrovert,Extrovert
18820,Extrovert,Extrovert
18821,Extrovert,Extrovert
18822,Extrovert,Introvert
18823,Extrovert,Extrovert
18824,Extrovert,Extrovert
18825,Extrovert,Extrovert
18826,Extrovert,Extrovert
18827,Extrovert,Extrovert
18828,Extrovert,Extrovert
18829,Extrovert,Extrovert
18830,Extrovert,Extrovert
18831,Extrovert,Introvert
18832,Extrovert,Extrovert
18833,Extrovert,Extrovert
18834,Extrovert,Extrovert
18835,Extrovert,Introvert
18836,Extrovert,Extrovert
18837,Extrovert,Extrovert
18838,Extrovert,Extrovert
18839,Extrovert,Extrovert
18840,Extrovert,Introvert
18841,Extrovert,Extrovert
18842,Extrovert,Introvert
18843,Extrovert,Extrovert
18844,Extrovert,Extrovert
18845,Extrovert,Introvert
18846,Extrovert,Extrovert
18847,Extrovert,Extrovert
18848,Extrovert,Extrovert
18849,Extrovert,Extrovert
18850,Extrovert,Introvert
18851,Extrovert,Extrovert
18852,Extrovert,Extrovert
18853,Extrovert,Extrovert
18854,Extrovert,Extrovert
18855,Extrovert,Extrovert
18856,Extrovert,Extrovert
18857,Extrovert,Introvert
18858,Extrovert,Extrovert
18859,Extrovert,Extrovert
18860,Extrovert,Extrovert
18861,Extrovert,Extrovert
18862,Extrovert,Extrovert
18863,Extrovert,Extrovert
18864,Extrovert,Introvert
18865,Extrovert,Extrovert
18866,Extrovert,Extrovert
18867,Extrovert,Extrovert
18868,Extrovert,Extrovert
18869,Extrovert,Extrovert
18870,Extrovert,Extrovert
18871,Extrovert,Extrovert
18872,Extrovert,Introvert
18873,Extrovert,Extrovert
18874,Extrovert,Introvert
18875,Extrovert,Extrovert
18876,Extrovert,Extrovert
18877,Extrovert,Extrovert
18878,Extrovert,Extrovert
18879,Extrovert,Introvert
18880,Extrovert,Extrovert
18881,Extrovert,Extrovert
18882,Extrovert,Extrovert
18883,Extrovert,Introvert
18884,Extrovert,Extrovert
18885,Extrovert,Introvert
18886,Extrovert,Extrovert
18887,Extrovert,Introvert
18888,Extrovert,Extrovert
18889,Extrovert,Extrovert
18890,Extrovert,Introvert
18891,Extrovert,Extrovert
18892,Extrovert,Extrovert
18893,Extrovert,Extrovert
18894,Extrovert,Extrovert
